date,temperature,precipitation,wind,trip_count
2022-04-27,11.6,0,96,82369
2022-06-14,23.9,0,29,123488
2022-06-22,19.1,25,46,94245
2022-01-28,0.1,28,35,34785
2022-08-20,27.9,0,32,128384
2022-08-24,26.9,0,40,122603
2022-10-07,20.3,0,39,123338
2022-06-03,19.5,0,38,120679
2022-12-12,1.6,0,52,59847
2022-03-25,9.6,8,48,74789
2022-03-29,-1.2,0,85,48399
2022-07-22,30.9,0,35,111560
2022-07-23,30.3,0,35,107371
2022-07-24,31.1,0,49,99344
2022-03-03,5.6,8,82,55364
2022-03-12,5.1,119,84,19579
2022-08-29,26.0,0,46,107926
2022-08-30,26.8,10,51,113259
2022-09-10,23.6,0,27,134252
2022-09-11,23.2,69,26,67620
2022-09-18,23.4,0,50,116325
2022-05-03,12.4,0,45,92487
2022-05-13,16.0,0,39,95758
2022-10-17,16.6,33,34,88572
2022-04-09,11.4,5,44,67250
2022-11-26,9.3,0,59,59381
2022-05-16,20.4,119,46,79196
