station_name,lat,lng,no_return_pc,daily_deps,daily_arrs
31 St & Northern Blvd,40.75186951421875,-73.93349289894103,2.5,23.1,22.5
31 St & Thomson Ave,40.74469738,-73.93540375,0.7,19.3,19.1
33 St & 47 Ave,40.74283,-73.9321,3.8,4.2,4.0
34 Ave & 13 St,40.7638753,-73.9364848,-0.6,8.9,9.0
34 Ave & 21 St,40.7628138,-73.9342862,0.4,15.9,15.8
34 Ave & 31 St,40.759604471387945,-73.92714411020279,2.1,19.2,18.8
34 Ave & 38 St,40.756913,-73.921631,-0.4,35.0,35.1
34 Ave & 45 St,40.754795,-73.917014,-0.1,10.5,10.5
34 Ave & 48 St,40.75388,-73.914952,-0.4,12.6,12.7
34 St & 35 Ave,40.7569332,-73.9262231,-0.1,23.0,23.0
34 St & 38 Ave,40.752443,-73.929737,2.7,15.7,15.3
34 St & 4 Ave,40.655278,-74.003101,-2.5,9.7,9.9
34 St & 48 Ave,40.740821207823245,-73.93147185444832,3.1,3.8,3.7
34 St & 5 Ave,40.654098,-74.001131,-8.3,5.0,5.5
34th Ave & Vernon Blvd,40.76535380385866,-73.93986314535141,-0.8,23.9,24.1
35 Ave & 10 St,40.76315481910373,-73.93985509872437,0.4,20.6,20.5
35 Ave & 37 St,40.7557327,-73.9236611,-0.4,27.3,27.4
35 St & 21 Ave,40.776745,-73.906558,-0.2,7.0,7.0
35 St & 23 Ave,40.77301508291382,-73.91119033098221,-1.3,11.1,11.3
35 St & 30 Ave,40.76547569244953,-73.91811579465866,3.9,32.4,31.2
35 St & 34 Ave,40.7580583,-73.9242751,2.3,19.2,18.7
35 St & Broadway,40.760339,-73.9222427,-0.6,31.3,31.4
36 Ave & 10 St,40.7614376,-73.9411265,0.4,21.1,21.0
36 Ave & 31 St,40.75651272984955,-73.92957486212252,-0.5,35.1,35.3
36 St & 3 Ave,40.655716,-74.006664,-2.7,18.8,19.3
36 St & 4 Ave,40.654144,-74.00422,-3.0,22.4,23.0
36 St & 47 Ave,40.74221834996096,-73.92935156822205,7.1,2.9,2.7
36 St & Ditmars Blvd,40.774306,-73.908335,-0.2,21.3,21.4
36 St & Hunters Point Ave,40.73781699881193,-73.93024072051048,4.5,3.0,2.8
36 St & Queens Blvd,40.74408,-73.92901,0.0,5.9,5.9
37 Ave & 35 St,40.7531106,-73.9279917,1.4,11.6,11.4
37 Ave & 63 St,40.74893,-73.89981,-2.2,1.1,1.1
37 St & 24 Ave,40.7701477,-73.9120938,-0.9,13.4,13.5
38 Ave & 29 St,40.75473,-73.93367,-0.0,19.7,19.7
38 St & 30 Ave,40.764174520197685,-73.91583994030952,5.0,43.6,41.4
38 St & Northern Blvd,40.752372,-73.925384,0.0,10.0,10.0
39 Ave & 45 St,40.74947822183477,-73.91826465725897,-0.8,3.7,3.7
39 Ave & 54 St,40.74891,-73.90899,-1.0,1.4,1.4
39 Ave & 56 St,40.74838,-73.90699,0.5,3.7,3.7
39 Dr & 52 St,40.74732,-73.91197,0.5,3.5,3.5
39 St & 2 Ave,40.65539977447831,-74.01062786579132,-10.4,3.9,4.3
39 St & 47 Ave,40.74215636827728,-73.92662644386292,3.5,5.0,4.8
39 St & 50 Ave,40.73824937345944,-73.92737478017807,2.5,6.3,6.2
39 St & Queens Blvd,40.74431,-73.92601,0.1,10.0,10.0
4 Ave & 17 St,40.665507,-73.993037,-1.4,16.5,16.8
4 Ave & 26 St,40.660079,-73.998633,-3.2,12.2,12.6
4 Ave & 3 St,40.673746,-73.985649,-2.0,41.6,42.4
4 Ave & 9 St,40.6705135,-73.98876585,-2.5,46.9,48.1
4 Ave & E 12 St,40.732647,-73.99011,-1.5,160.7,163.1
4 Ave & Shore Road Dr,40.637033,-74.022141,-1.6,9.2,9.3
4 St & Grand St,40.7422579775645,-74.03511106967926,,0.0,0.0
40 Ave & 9 St,40.75742,-73.945133,-1.5,17.2,17.5
40 Ave & Crescent St,40.7535992020056,-73.93795609474182,-0.6,19.6,19.8
40 St & Queens Blvd,40.743540273428685,-73.92435193061829,11.0,5.8,5.2
41 Ave & 67 St,40.74446,-73.89764,-5.2,1.0,1.0
41 St & 3 Ave,40.652512,-74.008906,-3.4,2.2,2.2
41 St & 4 Ave,40.651354,-74.007168,-1.9,11.6,11.8
42 Pl & Northern Blvd,40.753091,-73.920603,-0.7,7.5,7.6
42 St & 1 Ave,40.654798,-74.014372,-22.2,3.5,4.3
43 Ave & 40 St,40.74562,-73.92402,3.9,6.5,6.2
43 Ave & 42 St,40.74534682580983,-73.9219419658184,1.6,11.9,11.7
43 Ave & 47 St,40.7448062877224,-73.91728967428207,15.1,6.9,5.9
43 St & 23 Ave,40.769673,-73.906018,7.1,6.7,6.2
43 St & 35 Ave,40.754139,-73.919543,0.1,9.0,9.0
43 St & 37 Ave,40.750181,-73.919998,1.1,11.1,10.9
43 St & 50 Ave,40.73787237950538,-73.92264068126678,0.8,6.5,6.5
43 St & Broadway,40.7577284,-73.9166368,0.2,20.2,20.1
43 St & Skillman Ave,40.74692675687384,-73.9208248257637,-1.1,10.3,10.4
44 Dr & Jackson Ave,40.74718234,-73.9432635,-0.9,68.7,69.3
44 St & 2 Ave,40.652502,-74.013587,-8.8,2.7,3.0
44 St & 3 Ave,40.651173,-74.011405,-4.5,3.9,4.1
44 St & 48 Ave,40.73941387498411,-73.92131969332695,11.4,8.2,7.3
44 St & 6 Ave,40.647105,-74.004483,14.9,9.8,8.4
44 St & Greenpoint Ave,40.741119944681465,-73.92103672027588,0.5,3.8,3.8
45 Ave & 21 St,40.74737075646803,-73.94777297973631,-0.8,47.8,48.2
45 Rd & 11 St,40.74708586,-73.94977234,-0.8,32.9,33.2
45 St & 4 Ave,40.649145,-74.009486,-0.6,11.5,11.6
46 Ave & 5 St,40.74731,-73.95451,-0.3,78.2,78.4
46 St & 25 Ave,40.765753,-73.90676,16.5,9.6,8.0
46 St & 28 Ave,40.763328,-73.908782,7.3,10.8,10.0
46 St & 30 Rd,40.76072,-73.910989,4.0,9.7,9.3
46 St & 6 Ave,40.645921,-74.005708,17.9,6.5,5.3
46 St & 7 Ave,40.644743,-74.003754,7.4,9.8,9.1
46 St & Queens Blvd,40.74349759836971,-73.91860529780388,9.5,8.5,7.7
47 Ave & 31 St,40.743,-73.93561,-0.1,17.6,17.6
47 Ave & 48 St,40.74086,-73.91708,-0.8,3.3,3.3
47 Ave & Skillman Ave,40.7437524099784,-73.94176483154297,-2.6,5.7,5.8
47 St & 3 Ave,40.649143,-74.012384,-1.5,3.6,3.6
48 Ave & 31 St,40.74133,-73.93616,-2.2,8.3,8.5
48 Ave & 37 St,40.74034668087185,-73.92886072397232,1.2,3.8,3.8
48 Ave & 41 St,40.73985995699164,-73.92400324344635,1.2,9.3,9.2
48 Ave & 5 St,40.74436328706688,-73.9558732509613,-5.4,22.2,23.4
48 St & 2 Ave,40.650176,-74.015606,-3.8,2.7,2.8
48 St & 37 Ave,40.751555,-73.915026,0.3,17.0,16.9
48 St & 5 Ave,40.646351,-74.009271,4.4,7.7,7.4
48 St & 50 Ave,40.73737,-73.91803,0.2,4.4,4.4
48 St & Barnett Ave,40.75001640425933,-73.91540944576263,-2.2,3.7,3.7
48 St & Broadway,40.755763,-73.912715,0.5,23.3,23.2
48 St & Skillman Ave,40.74622874694195,-73.91616314649582,-0.2,7.0,7.0
49 Ave & 21 St,40.74252,-73.948852,-2.2,23.4,23.9
49 St & 25 Ave,40.764496,-73.904632,15.0,4.8,4.1
49 St & 31 Ave,40.758057,-73.909831,-0.3,10.7,10.8
5 Av & W 139 St,40.815484,-73.935856,0.4,23.1,23.0
5 Ave & 3 St,40.6728155,-73.98352355,-0.9,70.7,71.3
5 Ave & 37 St,40.652657,-74.002356,-1.9,9.1,9.2
5 Ave & 41 St,40.649983,-74.005144,-0.3,17.5,17.6
5 Ave & 66 St,40.635679,-74.020005,-1.0,8.9,8.9
5 Ave & E 103 St,40.7922553,-73.95249933,-0.9,89.6,90.4
5 Ave & E 135 St,40.812191,-73.937838,-0.1,19.1,19.1
5 Ave & E 29 St,40.7451677,-73.98683077,-0.2,115.8,116.0
5 Ave & E 63 St,40.766368,-73.971518,0.4,86.8,86.4
5 Ave & E 72 St,40.77282817,-73.96685276,-0.8,189.3,190.8
5 Ave & E 78 St,40.77632142182271,-73.96427392959595,-0.3,128.4,128.8
5 Ave & E 87 St,40.78232260730881,-73.95987510681152,-0.2,153.5,153.9
5 Ave & E 93 St,40.7857851,-73.957481,-0.2,102.8,103.0
5 Ave & W 126 St,40.80722,-73.9418,-1.2,32.5,32.9
5 Ave & W 131 St,40.81014,-73.93973,-0.7,27.1,27.3
5 Corners Library,40.73496102000952,-74.0595030784607,,0.0,0.0
5 St & 51 Ave,40.7423737,-73.9566,-0.8,15.2,15.3
5 St & 6 Ave,40.6704836,-73.98208968,-0.3,27.6,27.6
5 St & Market St,40.6999974843885,-73.97440128028393,-7.2,22.8,24.4
50 St & 30 Ave,40.760083,-73.907107,1.0,10.8,10.7
50 St & 7 Ave,40.642501,-74.006055,0.6,5.1,5.1
50 St & Barnett Ave,40.750097682094825,-73.91349703073502,1.4,5.6,5.6
50 St & Northern Blvd,40.753441,-73.912402,-1.0,10.8,10.9
51 St & 43 Ave,40.74451,-73.91412,12.1,7.2,6.3
51 St & Hobart St,40.75767234025041,-73.90769943594933,0.2,10.6,10.6
51 St & Queens Blvd,40.7429,-73.91395,1.3,1.9,1.9
52 St & 1 Ave,40.649292,-74.020105,-20.5,2.7,3.3
52 St & 6 Ave,40.642703,-74.009441,7.6,3.2,3.0
53 St & 2 Ave,40.64744,-74.018846,-3.1,10.1,10.4
53 St & 4 Ave,40.644862,-74.014531,0.8,18.2,18.0
53 St & 5 Ave,40.643371,-74.011884,6.4,5.9,5.5
53 St & Roosevelt Ave,40.74462,-73.91143,5.9,3.1,2.9
54 St & 37 Ave,40.75098,-73.90799,-3.2,1.1,1.2
55 St & 5 Ave,40.642408,-74.013318,4.9,3.8,3.6
55 St & 7 Ave,40.639673,-74.008957,4.9,7.2,6.9
55 St & Northern Blvd,40.75326,-73.90585,-1.8,2.3,2.3
57 St & 1 Ave,40.646377,-74.023087,-6.9,5.5,5.9
57 St & 37 Ave,40.75048,-73.90513,-7.1,0.7,0.7
57 St & 4 Ave,40.642622,-74.016866,-1.0,7.6,7.7
57 St & 43 Ave,40.74324,-73.908,-1.2,2.5,2.6
58 St & 2 Ave,40.644512,-74.021506,-9.7,5.6,6.1
58 St & 32 Ave,40.75574,-73.903427,-2.0,5.1,5.2
58 St & Pier 4,40.646475,-74.026081,-7.2,7.3,7.8
59 St & 4 Ave,40.641269,-74.017651,-0.2,10.2,10.3
59 St & 5 Ave,40.640125,-74.015726,2.6,4.9,4.7
6 Ave & 12 St,40.6663181,-73.9854617,-0.3,37.0,37.2
6 Ave & 21 St,40.66016,-73.990974,-0.3,37.3,37.4
6 Ave & 55 St,40.640831,-74.010996,3.2,3.2,3.1
6 Ave & 60 St,40.638196,-74.013821,0.2,4.6,4.6
6 Ave & 9 St,40.668127,-73.98377641,-0.4,62.2,62.5
6 Ave & Broome St,40.72431,-74.00473,-1.5,129.1,131.0
6 Ave & Canal St,40.72243797,-74.00566443,-1.6,67.2,68.2
6 Ave & W 33 St,40.74901271,-73.98848395,1.2,291.1,287.5
6 Ave & W 34 St,40.74964,-73.98805,3.0,245.1,237.8
6 Ave & W 45 St,40.756951,-73.982631,0.0,166.2,166.2
6 Ave & Walker St,40.7197920901383,-74.0052238852195,-1.5,68.8,69.9
6 St & 7 Ave,40.6686627,-73.97988067,-0.4,44.3,44.4
6 St & Grand St,40.7443978330956,-74.03450086712837,,0.0,0.0
60 St & 37 Ave,40.74958,-73.90256,-4.3,1.3,1.3
61 St & 39 Ave,40.7471,-73.9028,-1.5,5.4,5.5
61 St & Laurel Hill Blvd,40.7388,-73.90338,-2.7,1.0,1.1
61 St & Queens Blvd,40.74091,-73.90273,-4.7,1.8,1.9
61 St & Woodside Ave,40.74501,-73.9036,-1.4,3.9,4.0
62 St & 34 Ave,40.75201,-73.89986,-0.6,1.9,1.9
62 St & 4 Ave,40.639859,-74.019776,-2.9,3.7,3.8
62 St & 43 Ave,40.74261,-73.903,3.3,1.2,1.1
62 St & Northern Blvd,40.754176,-73.900318,-2.4,17.2,17.6
63 St & 5 Ave,40.63766,-74.01782,-1.8,2.2,2.2
64 St & 3 Ave,40.639978,-74.02324,-21.1,1.1,1.3
